Element    Node   Row  L.Trans/P  Detail   Bearing  Fbr/FDet
----------------------------------------------------------------------
Doubler    2002   2    0.268      16949    22637    1.336   
Doubler    2003   3    0.125      12405    10523    0.848   
Doubler    2004   4    0.049      10292    4136     0.402   
Doubler    2005   5    0.000      9462     0        0.000   
Doubler    2006   6    0.049      11123    4136     0.372   
Doubler    2007   7    0.125      14517    10523    0.725   
Doubler    2008   8    0.268      21494    22637    1.053   
Tripler    1002   2    0.268      8004     20087    2.510   
Tripler    1003   3    0.125      7722     9337     1.209   
Tripler    1004   4    0.049      7324     3670     0.501   
Tripler    1005   5    0.000      6593     0        0.000   
Tripler    1006   6    0.049      6593     3670     0.557   
Tripler    1007   7    0.125      5862     9337     1.593   
Tripler    1008   8    0.268      4002     20087    5.019   
